scaff.tar	gene.tar	chr.tar
DPSCF300001	DPOGS206908	Z
DPSCF300001	DPOGS206869	Z
DPSCF300001	DPOGS206826	Z
DPSCF300001	DPOGS206907	Z
DPSCF300001	DPOGS206825	Z
DPSCF300001	DPOGS207054	Z
DPSCF300001	DPOGS206909	Z
DPSCF300001	DPOGS207016	Z
DPSCF300001	DPOGS206906	Z
DPSCF300001	DPOGS206932	Z
DPSCF300001	DPOGS207108	Z
DPSCF300001	DPOGS206881	Z
DPSCF300001	DPOGS207109	Z
DPSCF300001	DPOGS206827	Z
DPSCF300001	DPOGS207107	Z
DPSCF300001	DPOGS206879	Z
DPSCF300001	DPOGS206768	Z
DPSCF300001	DPOGS206783	Z
DPSCF300001	DPOGS206766	Z
DPSCF300001	DPOGS206780	Z
DPSCF300001	DPOGS206891	Z
DPSCF300001	DPOGS206905	Z
DPSCF300001	DPOGS206935	Z
DPSCF300001	DPOGS207028	Z
DPSCF300001	DPOGS207111	Z
DPSCF300001	DPOGS207017	Z
DPSCF300001	DPOGS206880	Z
DPSCF300001	DPOGS206850	Z
DPSCF300001	DPOGS206806	Z
DPSCF300001	DPOGS206890	Z
DPSCF300001	DPOGS206878	Z
DPSCF300001	DPOGS207053	Z
DPSCF300001	DPOGS206934	Z
DPSCF300001	DPOGS206865	Z
DPSCF300001	DPOGS207030	Z
DPSCF300001	DPOGS206871	Z
DPSCF300001	DPOGS206849	Z
DPSCF300001	DPOGS207029	Z
DPSCF300001	DPOGS207024	Z
DPSCF300001	DPOGS206931	Z
DPSCF300001	DPOGS206823	Z
DPSCF300001	DPOGS206779	Z
DPSCF300001	DPOGS206807	Z
DPSCF300001	DPOGS207052	Z
DPSCF300001	DPOGS207057	Z
DPSCF300001	DPOGS206824	Z
DPSCF300001	DPOGS207015	Z
DPSCF300001	DPOGS206771	Z
DPSCF300001	DPOGS206930	Z
DPSCF300001	DPOGS206862	Z
DPSCF300001	DPOGS206876	Z
DPSCF300001	DPOGS206874	Z
DPSCF300001	DPOGS207025	Z
DPSCF300001	DPOGS207205	Z
DPSCF300001	DPOGS207000	Z
DPSCF300001	DPOGS206820	Z
DPSCF300001	DPOGS207195	Z
DPSCF300001	DPOGS207196	Z
DPSCF300001	DPOGS206870	Z
DPSCF300001	DPOGS206947	Z
DPSCF300001	DPOGS206789	Z
DPSCF300001	DPOGS206821	Z
DPSCF300001	DPOGS206848	Z
DPSCF300001	DPOGS207049	Z
DPSCF300001	DPOGS207090	Z
DPSCF300001	DPOGS206836	Z
DPSCF300001	DPOGS207221	Z
DPSCF300001	DPOGS206851	Z
DPSCF300001	DPOGS206810	Z
DPSCF300001	DPOGS207055	Z
DPSCF300001	DPOGS206884	Z
DPSCF300001	DPOGS207005	Z
DPSCF300001	DPOGS207006	Z
DPSCF300001	DPOGS207019	Z
DPSCF300001	DPOGS207115	Z
DPSCF300001	DPOGS207022	Z
DPSCF300001	DPOGS207062	Z
DPSCF300001	DPOGS206819	Z
DPSCF300001	DPOGS207220	Z
DPSCF300001	DPOGS206822	Z
DPSCF300001	DPOGS206863	Z
DPSCF300001	DPOGS206864	Z
DPSCF300001	DPOGS206986	Z
DPSCF300001	DPOGS207056	Z
DPSCF300001	DPOGS206855	Z
DPSCF300001	DPOGS206868	Z
DPSCF300001	DPOGS207113	Z
DPSCF300001	DPOGS206991	Z
DPSCF300001	DPOGS206875	Z
DPSCF300001	DPOGS207116	Z
DPSCF300001	DPOGS207117	Z
DPSCF300001	DPOGS206861	Z
DPSCF300001	DPOGS206877	Z
DPSCF300001	DPOGS207119	Z
DPSCF300001	DPOGS207120	Z
DPSCF300001	DPOGS207002	Z
DPSCF300001	DPOGS206866	Z
DPSCF300001	DPOGS207110	Z
DPSCF300001	DPOGS207045	Z
DPSCF300001	DPOGS207126	Z
DPSCF300001	DPOGS207127	Z
DPSCF300001	DPOGS207021	Z
DPSCF300001	DPOGS206928	Z
DPSCF300001	DPOGS206847	Z
DPSCF300001	DPOGS206887	Z
DPSCF300001	DPOGS206888	Z
DPSCF300001	DPOGS206889	Z
DPSCF300001	DPOGS206767	Z
DPSCF300001	DPOGS207011	Z
DPSCF300001	DPOGS206892	Z
DPSCF300001	DPOGS207003	Z
DPSCF300001	DPOGS206894	Z
DPSCF300001	DPOGS206895	Z
DPSCF300001	DPOGS206896	Z
DPSCF300001	DPOGS206790	Z
DPSCF300001	DPOGS206898	Z
DPSCF300001	DPOGS206899	Z
DPSCF300001	DPOGS206859	Z
DPSCF300001	DPOGS206901	Z
DPSCF300001	DPOGS206902	Z
DPSCF300001	DPOGS206903	Z
