scaff.tar	chr.tar
DPSCF300001	Z
DPSCF300002	11
DPSCF300003	Z
DPSCF300004	3
DPSCF300005	Z
DPSCF300006	10
DPSCF300007	1
DPSCF300008	7
DPSCF300009	6
DPSCF300010	10
DPSCF300011	17
DPSCF300012	2
DPSCF300013	3
DPSCF300014	1
DPSCF300015	20
DPSCF300016	11
DPSCF300017	13
DPSCF300018	19
DPSCF300019	7
DPSCF300020	14
DPSCF300021	18
DPSCF300022	8
DPSCF300023	17
DPSCF300025	7
DPSCF300026	15
DPSCF300027	15
DPSCF300028	Z
DPSCF300029	13
DPSCF300030	17
DPSCF300031	1
DPSCF300032	8
DPSCF300033	7
DPSCF300034	8
DPSCF300035	18
DPSCF300036	11
DPSCF300037	6
DPSCF300038	20
DPSCF300039	17
DPSCF300040	19
DPSCF300041	10
DPSCF300042	12
DPSCF300043	11
DPSCF300044	Z
DPSCF300045	1
DPSCF300046	11
DPSCF300047	5
DPSCF300048	16
DPSCF300049	14
DPSCF300050	8
DPSCF300051	17
DPSCF300052	18
DPSCF300053	6
DPSCF300054	9
DPSCF300055	12
DPSCF300056	1
DPSCF300057	7
DPSCF300058	10
DPSCF300059	7
DPSCF300060	19
DPSCF300061	18
DPSCF300062	14
DPSCF300063	15
DPSCF300064	19
DPSCF300065	15
DPSCF300066	Z
DPSCF300067	5
DPSCF300068	Z
DPSCF300069	10
DPSCF300070	12
DPSCF300071	12
DPSCF300072	13
DPSCF300073	1
DPSCF300075	Z
DPSCF300076	18
DPSCF300077	18
DPSCF300078	17
DPSCF300079	3
DPSCF300080	18
DPSCF300081	13
DPSCF300082	12
DPSCF300083	Z
DPSCF300084	3
DPSCF300085	1
DPSCF300086	8
DPSCF300087	13
DPSCF300088	4
DPSCF300089	15
DPSCF300090	13
DPSCF300091	9
DPSCF300092	4
DPSCF300093	3
DPSCF300094	4
DPSCF300095	5
DPSCF300096	19
DPSCF300097	13
DPSCF300098	5
DPSCF300099	6
DPSCF300100	12
DPSCF300101	16
DPSCF300102	9
DPSCF300103	12
DPSCF300104	10
DPSCF300105	5
DPSCF300106	4
DPSCF300107	14
DPSCF300108	10
DPSCF300109	12
DPSCF300111	15
DPSCF300112	10
DPSCF300113	3
DPSCF300114	5
DPSCF300115	13
DPSCF300116	18
DPSCF300117	6
DPSCF300118	15
DPSCF300119	19
DPSCF300120	11
DPSCF300121	13
DPSCF300122	18
DPSCF300123	9
DPSCF300124	13
DPSCF300125	8
DPSCF300126	14
DPSCF300127	5
DPSCF300128	20
DPSCF300129	19
DPSCF300130	15
DPSCF300131	4
DPSCF300132	13
DPSCF300133	19
DPSCF300134	Z
DPSCF300135	11
DPSCF300136	18
DPSCF300137	12
