/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../Mcinx_Chr21_Chr01.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2973	3176	31387	31590	204	204	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
3443	3685	30822	31064	243	243	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
3458	3715	188541	188798	258	258	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
4249	4407	26912	27070	159	159	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
4628	4852	26382	26606	225	225	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
5189	5353	25046	25210	165	165	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
5430	5624	197745	197939	195	195	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
5651	5857	23724	23924	207	201	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
5919	6368	199783	200301	450	519	6243218	5711611	0.01	0.01	DPSCF300001	Mcinx_Chr21
6569	6796	200330	200539	228	210	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
10889	11107	11127	11345	219	219	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
45888	46019	518976	519101	132	126	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
48601	48750	516107	516256	150	150	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
49460	49783	514708	515022	324	315	6243218	5711611	0.01	0.01	DPSCF300001	Mcinx_Chr21
50272	50397	514028	514153	126	126	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
51334	51609	513086	513328	276	243	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
52154	52366	510271	510477	213	207	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
53926	54030	509291	509395	105	105	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
54144	54263	508946	509065	120	120	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
54737	54859	506714	506848	123	135	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
57304	57486	504833	505021	183	189	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
62728	62976	497713	497964	249	252	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
63618	63752	494404	494535	135	132	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
63688	64095	492120	492443	408	324	6243218	5711611	0.01	0.01	DPSCF300001	Mcinx_Chr21
77654	77818	466068	466232	165	165	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
77950	78174	465708	465932	225	225	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
79567	79713	463185	463331	147	147	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
80248	80442	462090	462284	195	195	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
80508	80717	461623	461832	210	210	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
81153	81383	461062	461295	231	234	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
81503	81721	459038	459250	219	213	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
81741	81851	458222	458332	111	111	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
81866	82102	457969	458187	237	219	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
87918	88706	435573	436361	789	789	6243218	5711611	0.01	0.01	DPSCF300001	Mcinx_Chr21
118639	119340	380827	381531	702	705	6243218	5711611	0.01	0.01	DPSCF300001	Mcinx_Chr21
119694	119861	373942	374112	168	171	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
153878	154123	299506	299751	246	246	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
154295	154483	299103	299282	189	180	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
154575	154727	297163	297315	153	153	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
156501	156776	293889	294173	276	285	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
165470	165661	270153	270347	192	195	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
165849	166043	269725	269919	195	195	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
166997	167224	268907	269149	228	243	6243218	5711611	0.00	0.00	DPSCF300001	Mcinx_Chr21
