scaff.tar	gene.tar	chr.tar
DPSCF300001	DPOGS206827	21
DPSCF300001	DPOGS206788	21
DPSCF300001	DPOGS206907	21
DPSCF300001	DPOGS206947	21
DPSCF300001	DPOGS206790	21
DPSCF300001	DPOGS206789	21
DPSCF300001	DPOGS207109	21
DPSCF300001	DPOGS206784	21
DPSCF300001	DPOGS206825	21
DPSCF300001	DPOGS206791	21
DPSCF300001	DPOGS206911	21
DPSCF300001	DPOGS206877	21
DPSCF300001	DPOGS207119	21
DPSCF300001	DPOGS206909	21
DPSCF300001	DPOGS206914	21
DPSCF300001	DPOGS207196	21
DPSCF300001	DPOGS206792	21
DPSCF300001	DPOGS207155	21
DPSCF300001	DPOGS207195	21
DPSCF300001	DPOGS207113	21
DPSCF300001	DPOGS207156	21
DPSCF300001	DPOGS206878	21
DPSCF300001	DPOGS206858	21
DPSCF300001	DPOGS206826	21
DPSCF300001	DPOGS206861	21
DPSCF300001	DPOGS206865	21
DPSCF300001	DPOGS207107	21
DPSCF300001	DPOGS207108	21
DPSCF300001	DPOGS206985	21
DPSCF300001	DPOGS206912	21
DPSCF300001	DPOGS206913	21
DPSCF300001	DPOGS206829	21
DPSCF300001	DPOGS206857	21
DPSCF300001	DPOGS207030	21
DPSCF300001	DPOGS207142	21
DPSCF300001	DPOGS206850	21
DPSCF300001	DPOGS206876	21
DPSCF300001	DPOGS207117	21
DPSCF300001	DPOGS206835	21
DPSCF300001	DPOGS207036	21
DPSCF300001	DPOGS206906	21
DPSCF300001	DPOGS207149	21
DPSCF300001	DPOGS206910	21
DPSCF300001	DPOGS207154	21
DPSCF300001	DPOGS207125	21
DPSCF300001	DPOGS206787	21
DPSCF300001	DPOGS206802	21
DPSCF300001	DPOGS207031	21
DPSCF300001	DPOGS206862	21
DPSCF300001	DPOGS207174	21
DPSCF300001	DPOGS206848	21
DPSCF300001	DPOGS207092	21
DPSCF300001	DPOGS206851	21
DPSCF300001	DPOGS206795	21
DPSCF300001	DPOGS206799	21
DPSCF300001	DPOGS207110	21
DPSCF300001	DPOGS206964	21
DPSCF300001	DPOGS207028	21
DPSCF300001	DPOGS207167	21
DPSCF300001	DPOGS207140	21
DPSCF300001	DPOGS206977	21
DPSCF300001	DPOGS206915	21
DPSCF300001	DPOGS206859	21
DPSCF300001	DPOGS207062	21
DPSCF300001	DPOGS206902	21
DPSCF300001	DPOGS206903	21
DPSCF300001	DPOGS206783	21
DPSCF300001	DPOGS206864	21
DPSCF300001	DPOGS207150	21
DPSCF300001	DPOGS207111	21
DPSCF300001	DPOGS206856	21
DPSCF300001	DPOGS207069	21
DPSCF300001	DPOGS207197	21
DPSCF300001	DPOGS207198	21
DPSCF300001	DPOGS207185	21
DPSCF300001	DPOGS206875	21
DPSCF300001	DPOGS207158	21
DPSCF300001	DPOGS207034	21
DPSCF300001	DPOGS207118	21
DPSCF300001	DPOGS206834	21
DPSCF300001	DPOGS206836	21
DPSCF300001	DPOGS206824	21
DPSCF300001	DPOGS206908	21
DPSCF300001	DPOGS207068	21
DPSCF300001	DPOGS206801	21
DPSCF300001	DPOGS206963	21
DPSCF300001	DPOGS207212	21
DPSCF300001	DPOGS207199	21
DPSCF300001	DPOGS207157	21
DPSCF300001	DPOGS206928	21
DPSCF300001	DPOGS207173	21
DPSCF300001	DPOGS206849	21
DPSCF300001	DPOGS207221	21
DPSCF300001	DPOGS207093	21
DPSCF300001	DPOGS206798	21
DPSCF300001	DPOGS207194	21
DPSCF300001	DPOGS206855	21
DPSCF300001	DPOGS206854	21
DPSCF300001	DPOGS206975	21
DPSCF300001	DPOGS207097	21
DPSCF300001	DPOGS207141	21
DPSCF300001	DPOGS207098	21
DPSCF300001	DPOGS207143	21
DPSCF300001	DPOGS207101	21
DPSCF300001	DPOGS206979	21
DPSCF300001	DPOGS206980	21
DPSCF300001	DPOGS207104	21
DPSCF300001	DPOGS206905	21
DPSCF300001	DPOGS206934	21
DPSCF300001	DPOGS206982	21
DPSCF300001	DPOGS206984	21
DPSCF300001	DPOGS206986	21
DPSCF300001	DPOGS206867	21
DPSCF300001	DPOGS206869	21
DPSCF300001	DPOGS206870	21
DPSCF300001	DPOGS207032	21
DPSCF300001	DPOGS207033	21
DPSCF300001	DPOGS206874	21
DPSCF300001	DPOGS206873	21
DPSCF300001	DPOGS206993	21
DPSCF300001	DPOGS206994	21
DPSCF300001	DPOGS206983	21
DPSCF300001	DPOGS207164	21
