/panfs/panfs.ittc.ku.edu/scratch/jwalters/Danaus_NeoZ/Wseq_search/align_dplex_Wseqs/mummer_z-w_dplex/../z-scaffs.fas /panfs/panfs.ittc.ku.edu/scratch/jwalters/Danaus_NeoZ/Wseq_search/align_dplex_Wseqs/mummer_z-w_dplex/../w-scaffs.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
142326	142451	109636	109761	126	126	6243218	180121	0.00	0.07	DPSCF300001	DPSCF300409
241624	241806	3159	3341	183	183	6243218	9117	0.00	2.01	DPSCF300001	DPSCF300753
412770	412934	12543	12704	165	162	6243218	16724	0.00	0.97	DPSCF300001	DPSCF300619
586442	586639	510	677	198	168	6243218	16724	0.00	1.00	DPSCF300001	DPSCF300619
645112	645357	127022	127288	246	267	6243218	180121	0.00	0.15	DPSCF300001	DPSCF300409
645600	645794	126600	126794	195	195	6243218	180121	0.00	0.11	DPSCF300001	DPSCF300409
754303	754695	118946	119380	393	435	6243218	180121	0.01	0.24	DPSCF300001	DPSCF300409
861752	862414	13225	13890	663	666	6243218	16724	0.01	3.98	DPSCF300001	DPSCF300619
951886	952536	72403	73020	651	618	6243218	180121	0.01	0.34	DPSCF300001	DPSCF300409
1454772	1454855	109474	109557	84	84	6243218	180121	0.00	0.05	DPSCF300001	DPSCF300409
1915189	1915299	65448	65567	111	120	6243218	69912	0.00	0.17	DPSCF300001	DPSCF300466
1986151	1986243	3805	3897	93	93	6243218	11573	0.00	0.80	DPSCF300001	DPSCF300694
2099954	2100259	17756	18079	306	324	6243218	69912	0.00	0.46	DPSCF300001	DPSCF300466
2140451	2140825	6295	6630	375	336	6243218	180121	0.01	0.19	DPSCF300001	DPSCF300409
2274375	2274824	49613	50062	450	450	6243218	69912	0.01	0.64	DPSCF300001	DPSCF300466
2327134	2327431	4007	4289	298	283	6243218	180121	0.00	0.16	DPSCF300001	DPSCF300409
2589053	2589220	158595	158762	168	168	6243218	180121	0.00	0.09	DPSCF300001	DPSCF300409
2589080	2589322	158324	158581	243	258	6243218	180121	0.00	0.14	DPSCF300001	DPSCF300409
2589581	2589661	158917	158997	81	81	6243218	180121	0.00	0.04	DPSCF300001	DPSCF300409
4012807	4013310	18623	19141	504	519	6243218	26237	0.01	1.98	DPSCF300001	DPSCF300571
4013227	4013394	32608	32769	168	162	6243218	180121	0.00	0.09	DPSCF300001	DPSCF300409
4118857	4119030	6553	6717	174	165	6243218	39304	0.00	0.42	DPSCF300001	DPSCF300533
4125954	4126055	103405	103506	102	102	6243218	180121	0.00	0.06	DPSCF300001	DPSCF300409
4184744	4184995	126907	127158	252	252	6243218	180121	0.00	0.14	DPSCF300001	DPSCF300409
4348675	4348770	92497	92592	96	96	6243218	180121	0.00	0.05	DPSCF300001	DPSCF300409
5450810	5451196	118562	119068	387	507	6243218	180121	0.01	0.28	DPSCF300001	DPSCF300409
5451387	5451518	118205	118336	132	132	6243218	180121	0.00	0.07	DPSCF300001	DPSCF300409
5451520	5451603	118119	118202	84	84	6243218	180121	0.00	0.05	DPSCF300001	DPSCF300409
