/panfs/panfs.ittc.ku.edu/scratch/jwalters/Danaus_NeoZ/Wseq_search/align_dplex_Wseqs/mummer_z-w_dplex/../z-scaffs.fas /panfs/panfs.ittc.ku.edu/scratch/jwalters/Danaus_NeoZ/Wseq_search/align_dplex_Wseqs/mummer_z-w_dplex/../w-scaffs.fas
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[FRM]	[TAGS]
413508	414071	13198	13766	564	569	88.62	6243218	16724	0.01	3.40	1	1	DPSCF300001	DPSCF300619
796496	796779	32478	32760	284	283	86.90	6243218	180121	0.00	0.16	1	1	DPSCF300001	DPSCF300409
2576614	2576759	59189	59332	146	144	93.15	6243218	180121	0.00	0.08	1	1	DPSCF300001	DPSCF300409
2589581	2589659	158917	158995	79	79	100.00	6243218	180121	0.00	0.04	1	1	DPSCF300001	DPSCF300409
4184493	4184978	126628	127141	486	514	83.88	6243218	180121	0.01	0.29	1	1	DPSCF300001	DPSCF300409
4348639	4348765	92459	92587	127	129	96.90	6243218	180121	0.00	0.07	1	1	DPSCF300001	DPSCF300409
4655901	4656380	78011	77523	480	489	90.18	6243218	180121	0.01	0.27	1	-1	DPSCF300001	DPSCF300409
5781121	5781214	23801	23708	94	94	96.81	6243218	26237	0.00	0.36	1	-1	DPSCF300001	DPSCF300571
5806820	5807871	117984	116933	1052	1052	99.81	6243218	180121	0.02	0.58	1	-1	DPSCF300001	DPSCF300409
6028997	6029135	33066	32928	139	139	92.09	6243218	180121	0.00	0.08	1	-1	DPSCF300001	DPSCF300409
60834	61020	19901	20087	187	187	93.05	1815366	39304	0.01	0.48	1	1	DPSCF300003	DPSCF300533
492975	493327	116578	116932	353	355	98.03	1815366	180121	0.02	0.20	1	1	DPSCF300003	DPSCF300409
713376	713699	11059	10725	324	335	81.90	1815366	39304	0.02	0.85	1	-1	DPSCF300003	DPSCF300533
801709	802274	18269	18834	566	566	81.14	1509748	69912	0.04	0.81	1	1	DPSCF300005	DPSCF300466
1318728	1319114	3485	3871	387	387	88.69	1509748	12133	0.03	3.19	1	1	DPSCF300005	DPSCF300683
1350373	1350545	16910	17082	173	173	95.38	1364361	69912	0.01	0.25	1	1	DPSCF300012	DPSCF300466
29867	30029	12444	12282	163	163	89.57	1864814	69912	0.01	0.23	1	-1	DPSCF300028	DPSCF300466
821558	821640	1	83	83	83	100.00	1864814	12133	0.00	0.68	1	1	DPSCF300028	DPSCF300683
1595172	1595428	69270	69012	257	259	97.68	1864814	69912	0.01	0.37	1	-1	DPSCF300028	DPSCF300466
1803761	1803831	48022	48092	71	71	98.59	1864814	180121	0.00	0.04	1	1	DPSCF300028	DPSCF300409
801197	801311	11897	12011	115	115	93.91	1126962	69912	0.01	0.16	1	1	DPSCF300044	DPSCF300466
73832	74354	113733	113208	523	526	87.41	711328	180121	0.07	0.29	1	-1	DPSCF300066	DPSCF300409
251451	251843	6173	5784	393	390	87.02	657597	9117	0.06	4.28	1	-1	DPSCF300075	DPSCF300753
89440	89541	98949	98848	102	102	100.00	617440	180121	0.02	0.06	1	-1	DPSCF300083	DPSCF300409
8830	9243	57319	57751	414	433	88.74	430170	69912	0.10	0.62	1	1	DPSCF300145	DPSCF300466
304871	305210	121053	120716	340	338	81.84	430170	180121	0.08	0.19	1	-1	DPSCF300145	DPSCF300409
