scaff.tar	chr.tar
DPSCF300001	16
DPSCF300002	15
DPSCF300003	1
DPSCF300004	6
DPSCF300005	1
DPSCF300006	5
DPSCF300007	4
DPSCF300008	11
DPSCF300009	9
DPSCF300010	5
DPSCF300011	13
DPSCF300012	16
DPSCF300013	6
DPSCF300014	4
DPSCF300015	10
DPSCF300016	15
DPSCF300017	22
DPSCF300018	12
DPSCF300019	11
DPSCF300020	19
DPSCF300021	23
DPSCF300022	25
DPSCF300023	13
DPSCF300024	10
DPSCF300025	11
DPSCF300026	17
DPSCF300027	17
DPSCF300028	1
DPSCF300029	22
DPSCF300030	13
DPSCF300031	24
DPSCF300032	25
DPSCF300033	11
DPSCF300034	25
DPSCF300035	23
DPSCF300036	15
DPSCF300037	9
DPSCF300038	10
DPSCF300039	13
DPSCF300040	12
DPSCF300041	5
DPSCF300042	8
DPSCF300043	15
DPSCF300044	27
DPSCF300045	4
DPSCF300046	15
DPSCF300047	3
DPSCF300048	18
DPSCF300049	19
DPSCF300050	25
DPSCF300051	13
DPSCF300052	27
DPSCF300053	9
DPSCF300054	7
DPSCF300055	18
DPSCF300056	24
DPSCF300057	11
DPSCF300058	28
DPSCF300059	11
DPSCF300060	12
DPSCF300061	23
DPSCF300062	19
DPSCF300063	17
DPSCF300064	12
DPSCF300065	17
DPSCF300066	1
DPSCF300067	3
DPSCF300068	1
DPSCF300069	23
DPSCF300070	8
DPSCF300071	8
DPSCF300072	22
DPSCF300073	4
DPSCF300074	10
DPSCF300075	1
DPSCF300076	23
DPSCF300077	23
DPSCF300078	13
DPSCF300079	6
DPSCF300080	27
DPSCF300081	22
DPSCF300082	8
DPSCF300083	1
DPSCF300084	6
DPSCF300085	24
DPSCF300086	25
DPSCF300087	14
DPSCF300088	21
DPSCF300089	17
DPSCF300090	22
DPSCF300091	7
DPSCF300092	21
DPSCF300093	6
DPSCF300094	21
DPSCF300095	3
DPSCF300096	26
DPSCF300097	22
DPSCF300098	3
DPSCF300099	9
DPSCF300100	20
DPSCF300101	18
DPSCF300102	7
DPSCF300103	8
DPSCF300104	28
DPSCF300105	3
DPSCF300106	10
DPSCF300107	19
DPSCF300108	28
DPSCF300109	20
DPSCF300111	17
DPSCF300112	5
DPSCF300113	9
DPSCF300114	3
DPSCF300115	22
DPSCF300117	9
DPSCF300118	17
DPSCF300120	15
DPSCF300121	14
DPSCF300122	27
DPSCF300123	7
DPSCF300124	14
DPSCF300125	25
DPSCF300126	19
DPSCF300127	3
DPSCF300128	10
DPSCF300129	26
DPSCF300130	17
DPSCF300131	21
DPSCF300132	14
DPSCF300133	12
DPSCF300134	1
DPSCF300136	27
DPSCF300137	20
DPSCF300138	25
DPSCF300139	24
DPSCF300140	6
DPSCF300141	6
DPSCF300142	17
DPSCF300143	7
DPSCF300144	12
DPSCF300145	16
DPSCF300146	1
DPSCF300147	3
DPSCF300148	23
DPSCF300149	5
DPSCF300150	10
DPSCF300151	2
DPSCF300152	24
DPSCF300153	28
DPSCF300154	10
DPSCF300155	20
DPSCF300156	10
DPSCF300157	28
DPSCF300158	12
DPSCF300159	28
DPSCF300160	8
DPSCF300161	9
DPSCF300162	15
DPSCF300164	14
DPSCF300165	27
DPSCF300166	18
DPSCF300167	21
DPSCF300168	6
DPSCF300169	26
DPSCF300170	3
DPSCF300171	12
DPSCF300172	12
DPSCF300173	18
DPSCF300174	22
DPSCF300175	17
DPSCF300176	4
DPSCF300177	19
DPSCF300179	26
DPSCF300180	22
DPSCF300181	28
DPSCF300182	14
DPSCF300183	23
DPSCF300184	6
DPSCF300185	21
DPSCF300186	19
DPSCF300187	21
DPSCF300188	7
DPSCF300190	4
DPSCF300191	4
DPSCF300192	5
DPSCF300193	21
DPSCF300195	5
DPSCF300196	9
DPSCF300197	13
DPSCF300198	20
DPSCF300199	4
DPSCF300200	26
DPSCF300201	4
DPSCF300202	4
DPSCF300203	21
DPSCF300204	23
DPSCF300205	9
DPSCF300206	10
DPSCF300207	7
DPSCF300208	17
DPSCF300209	9
DPSCF300210	17
DPSCF300211	24
DPSCF300212	14
DPSCF300213	12
DPSCF300214	7
DPSCF300215	7
DPSCF300216	26
DPSCF300217	14
DPSCF300218	27
DPSCF300219	12
DPSCF300220	19
DPSCF300221	21
DPSCF300222	2
DPSCF300223	15
DPSCF300224	11
DPSCF300225	15
DPSCF300226	15
DPSCF300227	11
DPSCF300228	26
DPSCF300229	22
DPSCF300230	26
DPSCF300231	13
DPSCF300232	18
DPSCF300233	15
DPSCF300234	28
DPSCF300235	18
DPSCF300236	3
DPSCF300237	2
DPSCF300238	18
DPSCF300239	28
DPSCF300240	3
DPSCF300241	19
DPSCF300242	23
DPSCF300243	6
DPSCF300244	10
DPSCF300245	12
DPSCF300246	24
DPSCF300247	22
DPSCF300248	6
DPSCF300249	8
DPSCF300250	8
DPSCF300251	24
DPSCF300252	14
DPSCF300253	19
DPSCF300254	24
DPSCF300255	22
DPSCF300256	24
DPSCF300257	18
DPSCF300258	10
DPSCF300259	23
DPSCF300260	23
DPSCF300261	4
DPSCF300262	8
DPSCF300263	20
DPSCF300264	13
DPSCF300265	24
DPSCF300266	2
DPSCF300267	3
DPSCF300268	26
DPSCF300269	2
DPSCF300270	18
DPSCF300271	20
DPSCF300272	18
DPSCF300273	15
DPSCF300274	8
DPSCF300275	12
DPSCF300276	21
DPSCF300277	14
DPSCF300278	23
DPSCF300279	5
DPSCF300280	25
DPSCF300281	15
DPSCF300282	15
DPSCF300283	2
DPSCF300284	8
DPSCF300285	28
DPSCF300286	14
DPSCF300287	23
DPSCF300288	12
DPSCF300289	9
DPSCF300290	26
DPSCF300291	18
DPSCF300292	11
DPSCF300293	6
DPSCF300294	15
DPSCF300295	17
DPSCF300296	21
DPSCF300297	20
DPSCF300298	27
DPSCF300299	9
DPSCF300300	21
DPSCF300301	22
DPSCF300302	20
DPSCF300303	26
DPSCF300304	6
DPSCF300305	28
DPSCF300306	28
DPSCF300307	11
DPSCF300308	19
DPSCF300309	21
DPSCF300310	11
DPSCF300312	23
DPSCF300313	19
DPSCF300314	8
DPSCF300315	24
DPSCF300316	2
DPSCF300317	2
DPSCF300318	19
DPSCF300319	28
DPSCF300320	10
DPSCF300321	19
DPSCF300322	3
DPSCF300323	13
DPSCF300324	25
DPSCF300325	11
DPSCF300326	27
DPSCF300327	18
DPSCF300328	7
DPSCF300329	18
DPSCF300330	7
DPSCF300331	3
DPSCF300332	14
DPSCF300334	2
DPSCF300335	12
DPSCF300337	21
DPSCF300338	19
DPSCF300339	24
DPSCF300340	11
DPSCF300341	14
DPSCF300342	17
DPSCF300343	18
DPSCF300344	26
DPSCF300345	26
DPSCF300346	19
DPSCF300347	9
DPSCF300348	28
DPSCF300349	24
DPSCF300350	23
DPSCF300351	24
DPSCF300353	3
DPSCF300354	24
DPSCF300355	20
DPSCF300356	17
DPSCF300357	7
DPSCF300358	28
DPSCF300359	13
DPSCF300360	25
DPSCF300361	2
DPSCF300363	23
DPSCF300364	20
DPSCF300365	28
DPSCF300366	6
DPSCF300367	22
DPSCF300369	24
DPSCF300370	11
DPSCF300371	18
DPSCF300372	26
DPSCF300373	24
DPSCF300374	23
DPSCF300375	28
DPSCF300376	19
DPSCF300377	4
DPSCF300378	23
DPSCF300379	19
DPSCF300380	28
DPSCF300381	9
DPSCF300382	21
DPSCF300383	19
DPSCF300384	23
DPSCF300385	25
DPSCF300386	20
DPSCF300388	11
DPSCF300390	14
DPSCF300391	23
DPSCF300392	11
DPSCF300393	20
DPSCF300394	26
DPSCF300395	11
DPSCF300396	11
DPSCF300397	7
DPSCF300398	24
DPSCF300400	21
DPSCF300401	11
DPSCF300402	24
DPSCF300403	16
DPSCF300404	18
DPSCF300405	11
DPSCF300407	21
DPSCF300408	2
DPSCF300409	20
DPSCF300410	2
DPSCF300411	7
DPSCF300414	18
DPSCF300415	15
DPSCF300417	18
DPSCF300418	11
DPSCF300419	24
DPSCF300420	2
DPSCF300421	28
DPSCF300423	7
DPSCF300424	19
DPSCF300425	8
DPSCF300426	12
DPSCF300427	11
DPSCF300429	11
DPSCF300431	23
DPSCF300432	24
DPSCF300435	22
DPSCF300437	18
DPSCF300438	23
DPSCF300441	24
DPSCF300442	11
DPSCF300445	7
DPSCF300446	24
DPSCF300447	26
DPSCF300448	23
DPSCF300449	11
DPSCF300450	11
DPSCF300451	26
DPSCF300454	26
DPSCF300456	28
DPSCF300457	23
DPSCF300460	26
DPSCF300461	20
DPSCF300462	19
DPSCF300464	11
DPSCF300465	7
DPSCF300467	20
