/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../Hmel2_Chr02_Ch21.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2928	3170	1642304	1642537	243	234	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
2943	3176	1596996	1597238	234	243	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
3249	3377	1597545	1597673	129	129	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
3249	3371	1671851	1671973	123	123	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
3476	3682	1644461	1644667	207	207	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
3747	3881	1644824	1644958	135	135	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
4861	5148	1673470	1673757	288	288	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
5421	5636	1601289	1601504	216	216	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
5687	5842	2312162	2312317	156	156	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
5910	6107	1675235	1675432	198	198	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
6189	6344	1675504	1675659	156	156	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
6605	6796	1648820	1649011	192	192	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
13717	13830	1612376	1612489	114	114	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
13717	13887	1660671	1660868	171	198	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
45874	46020	6286245	6286400	147	156	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
49451	49708	6282358	6282609	258	252	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
49818	49943	6282113	6282250	126	138	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
50263	50391	6281704	6281832	129	129	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
51401	51610	6281407	6281616	210	210	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
52154	52393	6280177	6280401	240	225	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
53931	54080	6278974	6279123	150	150	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
54144	54263	6278178	6278297	120	120	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
54782	54868	6277661	6277747	87	87	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
62232	62486	6264751	6265002	255	252	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
62728	63000	6264286	6264558	273	273	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
63895	64107	6260679	6260894	213	216	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
77695	77808	6222849	6222962	114	114	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
77953	78171	6222281	6222499	219	219	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
79543	79716	6220776	6220955	174	180	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
80275	80457	6220212	6220397	183	186	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
80504	80849	6219579	6219939	346	361	6243218	8647045	0.01	0.00	DPSCF300001	Hmel2_Chr02
81156	81374	6219248	6219466	219	219	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
81503	81649	6218996	6219145	147	150	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
81741	81866	6218397	6218522	126	126	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
81935	82108	6217997	6218170	174	174	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
82702	82962	6217164	6217424	261	261	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
87801	88730	6115838	6116746	930	909	6243218	8647045	0.01	0.01	DPSCF300001	Hmel2_Chr02
101908	103206	6213438	6214739	1299	1302	6243218	8647045	0.02	0.02	DPSCF300001	Hmel2_Chr02
118636	119391	6103102	6103863	756	762	6243218	8647045	0.01	0.01	DPSCF300001	Hmel2_Chr02
119694	119843	6095248	6095400	150	153	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
140044	140445	3574416	3574820	402	405	6243218	6556136	0.01	0.01	DPSCF300001	Hmel2_Chr21
153848	154141	6047042	6047329	294	288	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
154271	154429	6046676	6046837	159	162	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
154575	154727	6044588	6044740	153	153	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
155190	155486	6043442	6043738	297	297	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
156492	156782	6042680	6042982	291	303	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
165467	165637	6022612	6022779	171	168	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
165843	166073	6022034	6022237	231	204	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
167009	167224	6020948	6021163	216	216	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
167310	167447	6020486	6020623	138	138	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
167914	168147	6019345	6019614	234	270	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
173109	173324	4027751	4027999	216	249	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
175042	175359	4029469	4029780	318	312	6243218	8647045	0.01	0.00	DPSCF300001	Hmel2_Chr02
179005	179250	4033032	4033280	246	249	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
179441	179545	4033975	4034079	105	105	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
179764	179874	4034834	4034944	111	111	6243218	8647045	0.00	0.00	DPSCF300001	Hmel2_Chr02
