/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../Hmel2_Chr02.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2928	3170	1642303	1642536	243	234	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
2943	3176	1596995	1597237	234	243	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
3249	3377	1597544	1597672	129	129	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
3249	3371	1671850	1671972	123	123	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
3476	3682	1644460	1644666	207	207	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
3747	3881	1672448	1672582	135	135	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
4861	5148	1673469	1673756	288	288	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
5189	5359	280797	280967	171	171	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
5421	5636	1601288	1601503	216	216	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
5687	5842	281574	281729	156	156	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
5910	6107	1675234	1675431	198	198	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
6189	6344	1675503	1675658	156	156	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
6605	6796	1648819	1649010	192	192	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
11674	11940	295073	295318	267	246	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
13717	13830	1612375	1612488	114	114	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
13717	13887	1660670	1660867	171	198	6243218	2030578	0.00	0.01	DPSCF300001	Hmel202004
45874	46020	4255657	4255812	147	156	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
49451	49708	4251770	4252021	258	252	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
49818	49943	4251525	4251662	126	138	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
50263	50391	4251116	4251244	129	129	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
51401	51610	4250819	4251028	210	210	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
52154	52393	4249589	4249813	240	225	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
53931	54080	4248386	4248535	150	150	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
54144	54263	4247590	4247709	120	120	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
54782	54868	4247073	4247159	87	87	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
62232	62486	4234163	4234414	255	252	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
62728	63000	4233698	4233970	273	273	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
63895	64107	4230091	4230306	213	216	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
77695	77808	4192261	4192374	114	114	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
77953	78171	4191693	4191911	219	219	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
79543	79716	4190188	4190367	174	180	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
80275	80457	4189624	4189809	183	186	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
80504	80849	4188991	4189351	346	361	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
81156	81374	4188660	4188878	219	219	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
81503	81649	4188408	4188557	147	150	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
81741	81866	4187809	4187934	126	126	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
81935	82108	4187409	4187582	174	174	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
82702	82962	4186576	4186836	261	261	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
87801	88730	4085250	4086158	930	909	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
101908	103206	4182850	4184151	1299	1302	6243218	6616448	0.02	0.02	DPSCF300001	Hmel202006
118636	119391	4072514	4073275	756	762	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
119694	119843	4064660	4064812	150	153	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
140029	140445	496034	496450	417	417	6243218	2030578	0.01	0.02	DPSCF300001	Hmel202004
153848	154141	4016454	4016741	294	288	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
154271	154429	4016088	4016249	159	162	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
154575	154727	4014000	4014152	153	153	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
155190	155486	4012854	4013150	297	297	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
156492	156782	4012092	4012394	291	303	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
165467	165637	3992024	3992191	171	168	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
165843	166073	3991446	3991649	231	204	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
167009	167224	3990360	3990575	216	216	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
167310	167447	3989898	3990035	138	138	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
167914	168147	3988757	3989026	234	270	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
173109	173324	1997163	1997411	216	249	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
175042	175359	1998881	1999192	318	312	6243218	6616448	0.01	0.00	DPSCF300001	Hmel202006
179005	179250	2002444	2002692	246	249	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
179441	179545	2003387	2003491	105	105	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
179764	179874	2004246	2004356	111	111	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
181566	181781	2005985	2006200	216	216	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
182010	182195	2006598	2006792	186	195	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
182485	182676	2007364	2007555	192	192	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
184441	184542	2009384	2009485	102	102	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
186348	186716	2011925	2012293	369	369	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
187732	187911	2012361	2012540	180	180	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
188079	188306	2012761	2012961	228	201	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
189353	189772	2013565	2013969	420	405	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
190198	190572	2014129	2014494	375	366	6243218	6616448	0.01	0.01	DPSCF300001	Hmel202006
191038	191193	2015049	2015207	156	159	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
191258	191449	2015653	2015844	192	192	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
196910	197080	2020467	2020637	171	171	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
197126	197281	2021144	2021293	156	150	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
197586	197852	2024263	2024529	267	267	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
199866	200132	2029323	2029640	267	318	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
200829	201005	2029634	2029810	177	177	6243218	6616448	0.00	0.00	DPSCF300001	Hmel202006
