DPOGS200001-PA	DPSCF300466	100.000	98	0	0	1	98	69626	69333	3.76e-43	153
DPOGS200001-PA	DPSCF300466	100.000	35	0	0	99	133	67981	67877	2.86e-16	76.3
DPOGS200001-PA	DPSCF300339	56.154	130	52	3	2	126	152470	152081	7.91e-26	103
DPOGS200001-PA	DPSCF300339	55.844	77	33	1	1	77	158649	158422	2.67e-10	59.3
DPOGS200001-PA	DPSCF300021	100.000	35	0	0	99	133	1159704	1159808	2.87e-16	76.3
DPOGS200001-PA	DPSCF300498	59.048	105	40	1	2	103	39742	40056	5.92e-16	75.5
DPOGS200001-PA	DPSCF300132	50.000	60	18	2	85	132	259597	259776	9.72e-09	54.7
DPOGS200001-PA	DPSCF300026	54.545	44	13	1	96	132	1060043	1059912	8.69e-08	52.0
DPOGS200001-PA	DPSCF300043	54.545	44	13	1	96	132	1076541	1076672	2.30e-07	50.8
DPOGS200001-PA	DPSCF300262	70.000	30	9	0	103	132	313136	313225	3.91e-07	50.1
DPOGS200001-PA	DPSCF300049	60.526	38	10	1	96	128	378986	379099	3.99e-07	50.1
DPOGS200001-PA	DPSCF300148	50.000	44	15	1	96	132	320588	320719	4.18e-06	47.4
DPOGS200002-PA	DPSCF300466	99.352	463	3	0	495	957	40578	41966	0.0	865
DPOGS200002-PA	DPSCF300466	84.932	146	18	1	283	424	38874	39311	2.90e-65	234
DPOGS200002-PA	DPSCF300466	30.508	59	41	0	194	252	38578	38754	2.90e-65	38.5
DPOGS200002-PA	DPSCF300466	85.185	108	9	1	70	177	37436	37738	6.41e-45	180
DPOGS200002-PA	DPSCF300466	97.674	86	2	0	412	497	40123	40380	2.09e-42	172
DPOGS200002-PA	DPSCF300466	100.000	84	0	0	158	241	37933	38184	3.61e-42	171
DPOGS200002-PA	DPSCF300466	93.548	62	4	0	239	300	38569	38754	1.63e-25	117
DPOGS200002-PA	DPSCF300466	94.340	53	3	0	18	70	36921	37079	2.57e-22	107
DPOGS200002-PA	DPSCF300466	30.709	127	87	1	179	305	38934	39311	2.68e-06	54.3
DPOGS200002-PA	DPSCF300021	27.723	404	238	8	194	591	88538	89605	3.93e-27	122
DPOGS200002-PA	DPSCF300021	27.021	433	238	16	194	602	392792	391656	4.25e-22	106
DPOGS200002-PA	DPSCF300021	23.881	469	285	8	142	550	194744	196114	1.33e-19	98.2
DPOGS200002-PA	DPSCF300021	28.923	325	202	5	197	493	88037	89008	1.17e-18	95.1
DPOGS200002-PA	DPSCF300021	25.786	477	319	16	148	600	487190	488587	8.67e-18	92.4
DPOGS200002-PA	DPSCF300021	27.701	361	200	11	192	491	486653	487735	3.48e-16	87.0
DPOGS200002-PA	DPSCF300021	26.346	353	237	4	164	493	393596	392538	8.88e-16	85.5
DPOGS200002-PA	DPSCF300021	28.571	357	235	8	197	538	393293	392238	1.09e-14	82.0
DPOGS200002-PA	DPSCF300021	24.755	408	228	10	194	527	194336	195544	1.37e-14	81.6
DPOGS200002-PA	DPSCF300021	28.190	337	203	8	194	522	634017	634934	1.54e-14	81.6
