# Species	Genes	Alg.-Conn.	Dp_OGS2_prots.fas	Mcinx_prots_noPA.fas
2	2	1	DPOGS200002-PA	MCINX015627
2	2	1	DPOGS200008-PA	MCINX015074
2	2	1	DPOGS200014-PA	MCINX012213
2	2	1	DPOGS200016-PA	MCINX002648
2	2	1	DPOGS200017-PA	MCINX013403
2	2	1	DPOGS200021-PA	MCINX009961
2	2	1	DPOGS200022-PA	MCINX008774
2	2	1	DPOGS200025-PA	MCINX011801
2	2	1	DPOGS200030-PA	MCINX001969
2	2	1	DPOGS200031-PA	MCINX014320
2	2	1	DPOGS200034-PA	MCINX005056
2	2	1	DPOGS200035-PA	MCINX005052
2	2	1	DPOGS200037-PA	MCINX004857
2	2	1	DPOGS200042-PA	MCINX006633
2	2	1	DPOGS200046-PA	MCINX010983
2	2	1	DPOGS200048-PA	MCINX013406
2	2	1	DPOGS200049-PA	MCINX013407
2	2	1	DPOGS200051-PA	MCINX013408
2	2	1	DPOGS200052-PA	MCINX014807
2	2	1	DPOGS200053-PA	MCINX014806
2	2	1	DPOGS200061-PA	MCINX010498
2	2	1	DPOGS200067-PA	MCINX015641
2	2	1	DPOGS200078-PA	MCINX014075
2	2	1	DPOGS200082-PA	MCINX000292
2	2	1	DPOGS200084-PA	MCINX000294
2	2	1	DPOGS200085-PA	MCINX003810
2	2	1	DPOGS200086-PA	MCINX004373
2	2	1	DPOGS200089-PA	MCINX004366
2	2	1	DPOGS200090-PA	MCINX007323
2	2	1	DPOGS200092-PA	MCINX008598
2	2	1	DPOGS200094-PA	MCINX004363
2	2	1	DPOGS200095-PA	MCINX004367
2	2	1	DPOGS200096-PA	MCINX004368
2	2	1	DPOGS200098-PA	MCINX004372
2	2	1	DPOGS200100-PA	MCINX003812
2	2	1	DPOGS200101-PA	MCINX003811
2	2	1	DPOGS200116-PA	MCINX015640
2	2	1	DPOGS200118-PA	MCINX009782
2	3	0.333	DPOGS200119-PA,DPOGS200120-PA	MCINX012271
2	2	1	DPOGS200122-PA	MCINX010499
2	2	1	DPOGS200123-PA	MCINX010497
2	2	1	DPOGS200125-PA	MCINX010494
2	2	1	DPOGS200133-PA	MCINX004603
2	2	1	DPOGS200137-PA	MCINX006251
2	2	1	DPOGS200141-PA	MCINX011769
2	2	1	DPOGS200142-PA	MCINX004679
2	2	1	DPOGS200143-PA	MCINX004676
2	4	0.25	DPOGS200146-PA,DPOGS202096-PA,DPOGS202095-PA	MCINX014069
2	2	1	DPOGS200147-PA	MCINX005407
2	2	1	DPOGS200148-PA	MCINX005404
2	2	1	DPOGS200150-PA	MCINX014102
2	2	1	DPOGS200151-PA	MCINX014101
2	2	1	DPOGS200155-PA	MCINX016564
2	2	1	DPOGS200156-PA	MCINX012288
2	2	1	DPOGS200158-PA	MCINX005571
2	2	1	DPOGS200161-PA	MCINX006954
2	2	1	DPOGS200164-PA	MCINX005408
2	2	1	DPOGS200168-PA	MCINX008215
2	2	1	DPOGS200169-PA	MCINX008216
2	2	1	DPOGS200171-PA	MCINX009221
2	2	1	DPOGS200172-PA	MCINX006252
2	2	1	DPOGS200173-PA	MCINX006253
2	2	1	DPOGS200174-PA	MCINX001458
2	2	1	DPOGS200179-PA	MCINX004604
2	2	1	DPOGS200180-PA	MCINX004605
2	2	1	DPOGS200181-PA	MCINX004608
2	2	1	DPOGS200182-PA	MCINX004611
2	2	1	DPOGS200183-PA	MCINX004612
2	2	1	DPOGS200185-PA	MCINX004613
2	2	1	DPOGS200186-PA	MCINX004614
2	3	0.333	DPOGS200188-PA,DPOGS202092-PA	MCINX004616
2	2	1	DPOGS200189-PA	MCINX004700
2	2	1	DPOGS200190-PA	MCINX007808
2	2	1	DPOGS200191-PA	MCINX007809
2	2	1	DPOGS200193-PA	MCINX004696
2	2	1	DPOGS200196-PA	MCINX001831
2	2	1	DPOGS200202-PA	MCINX000312
2	2	1	DPOGS200205-PA	MCINX006920
2	2	1	DPOGS200206-PA	MCINX004694
2	2	1	DPOGS200208-PA	MCINX007442
2	2	1	DPOGS200210-PA	MCINX003858
2	2	1	DPOGS200211-PA	MCINX013334
2	2	1	DPOGS200216-PA	MCINX013333
2	2	1	DPOGS200219-PA	MCINX003623
2	2	1	DPOGS200221-PA	MCINX003621
2	2	1	DPOGS200222-PA	MCINX005491
2	2	1	DPOGS200224-PA	MCINX008629
2	2	1	DPOGS200225-PA	MCINX008627
2	2	1	DPOGS200226-PA	MCINX014777
2	2	1	DPOGS200227-PA	MCINX005492
2	2	1	DPOGS200228-PA	MCINX003733
2	2	1	DPOGS200231-PA	MCINX000965
2	2	1	DPOGS200233-PA	MCINX000962
2	2	1	DPOGS200236-PA	MCINX008624
2	2	1	DPOGS200237-PA	MCINX009390
2	2	1	DPOGS200238-PA	MCINX009387
2	2	1	DPOGS200239-PA	MCINX009386
2	2	1	DPOGS200240-PA	MCINX006668
2	2	1	DPOGS200241-PA	MCINX006670
2	4	0.25	DPOGS200242-PA,DPOGS200244-PA,DPOGS200243-PA	MCINX006671
2	2	1	DPOGS200245-PA	MCINX004730
2	2	1	DPOGS200246-PA	MCINX006669
2	2	1	DPOGS200248-PA	MCINX009388
2	2	1	DPOGS200249-PA	MCINX009389
2	2	1	DPOGS200250-PA	MCINX008626
2	2	1	DPOGS200251-PA	MCINX008625
2	2	1	DPOGS200253-PA	MCINX000961
2	2	1	DPOGS200254-PA	MCINX008789
2	2	1	DPOGS200258-PA	MCINX007415
2	2	1	DPOGS200260-PA	MCINX014425
2	2	1	DPOGS200261-PA	MCINX004340
2	2	1	DPOGS200262-PA	MCINX004336
2	2	1	DPOGS200264-PA	MCINX006157
2	4	0.25	DPOGS200270-PA,DPOGS200272-PA,DPOGS200271-PA	MCINX006164
2	2	1	DPOGS200277-PA	MCINX005723
2	2	1	DPOGS200278-PA	MCINX005727
2	2	1	DPOGS200279-PA	MCINX005726
2	2	1	DPOGS200280-PA	MCINX005722
2	2	1	DPOGS200281-PA	MCINX005721
2	2	1	DPOGS200282-PA	MCINX005718
2	2	1	DPOGS200287-PA	MCINX012926
2	2	1	DPOGS200290-PA	MCINX011707
2	2	1	DPOGS200291-PA	MCINX011710
2	2	1	DPOGS200292-PA	MCINX005349
2	2	1	DPOGS200293-PA	MCINX009170
2	2	1	DPOGS200294-PA	MCINX009171
2	2	1	DPOGS200295-PA	MCINX001433
2	2	1	DPOGS200296-PA	MCINX008536
2	2	1	DPOGS200297-PA	MCINX008535
2	2	1	DPOGS200298-PA	MCINX015085
2	2	1	DPOGS200300-PA	MCINX009294
2	2	1	DPOGS200302-PA	MCINX009369
2	2	1	DPOGS200303-PA	MCINX009366
2	2	1	DPOGS200305-PA	MCINX011606
2	2	1	DPOGS200307-PA	MCINX002280
2	2	1	DPOGS200308-PA	MCINX002279
2	2	1	DPOGS200309-PA	MCINX002275
2	2	1	DPOGS200312-PA	MCINX007987
2	2	1	DPOGS200313-PA	MCINX012340
2	2	1	DPOGS200316-PA	MCINX012338
2	2	1	DPOGS200317-PA	MCINX012334
2	2	1	DPOGS200318-PA	MCINX002274
2	2	1	DPOGS200324-PA	MCINX002281
2	2	1	DPOGS200326-PA	MCINX011604
2	4	0.25	DPOGS200327-PA,DPOGS207542-PA,DPOGS200328-PA	MCINX009367
2	2	1	DPOGS200330-PA	MCINX009295
2	2	1	DPOGS200333-PA	MCINX011603
2	2	1	DPOGS200334-PA	MCINX004092
2	2	1	DPOGS200341-PA	MCINX001431
2	2	1	DPOGS200342-PA	MCINX009169
2	2	1	DPOGS200343-PA	MCINX005348
2	2	1	DPOGS200344-PA	MCINX011709
2	2	1	DPOGS200345-PA	MCINX011708
2	2	1	DPOGS200346-PA	MCINX014621
2	2	1	DPOGS200347-PA	MCINX014622
2	2	1	DPOGS200349-PA	MCINX012925
2	2	1	DPOGS200353-PA	MCINX002697
2	2	1	DPOGS200356-PA	MCINX002699
2	2	1	DPOGS200360-PA	MCINX005715
2	2	1	DPOGS200362-PA	MCINX005719
2	2	1	DPOGS200363-PA	MCINX005720
2	2	1	DPOGS200367-PA	MCINX002704
2	2	1	DPOGS200369-PA	MCINX009496
2	2	1	DPOGS200370-PA	MCINX009497
2	2	1	DPOGS200372-PA	MCINX006162
2	2	1	DPOGS200373-PA	MCINX006159
2	2	1	DPOGS200377-PA	MCINX006158
2	2	1	DPOGS200380-PA	MCINX014424
2	2	1	DPOGS200381-PA	MCINX007407
2	2	1	DPOGS200382-PA	MCINX007409
2	2	1	DPOGS200383-PA	MCINX007411
2	2	1	DPOGS200384-PA	MCINX007416
2	2	1	DPOGS200390-PA	MCINX008461
2	2	1	DPOGS200394-PA	MCINX004017
2	2	1	DPOGS200397-PA	MCINX002594
2	2	1	DPOGS200398-PA	MCINX000954
2	2	1	DPOGS200401-PA	MCINX009006
2	2	1	DPOGS200402-PA	MCINX009007
2	2	1	DPOGS200403-PA	MCINX015691
2	2	1	DPOGS200406-PA	MCINX005627
2	2	1	DPOGS200407-PA	MCINX005629
2	2	1	DPOGS200408-PA	MCINX005630
2	2	1	DPOGS200409-PA	MCINX013378
2	2	1	DPOGS200410-PA	MCINX013376
2	2	1	DPOGS200411-PA	MCINX013374
2	2	1	DPOGS200412-PA	MCINX012154
2	2	1	DPOGS200420-PA	MCINX009178
2	2	1	DPOGS200421-PA	MCINX009179
2	2	1	DPOGS200422-PA	MCINX008948
2	2	1	DPOGS200424-PA	MCINX008523
2	2	1	DPOGS200426-PA	MCINX008520
2	2	1	DPOGS200427-PA	MCINX008517
2	2	1	DPOGS200428-PA	MCINX010207
2	2	1	DPOGS200429-PA	MCINX011069
2	2	1	DPOGS200431-PA	MCINX014292
2	2	1	DPOGS200432-PA	MCINX008518
2	2	1	DPOGS200434-PA	MCINX008524
2	2	1	DPOGS200440-PA	MCINX006352
2	2	1	DPOGS200441-PA	MCINX013373
2	2	1	DPOGS200442-PA	MCINX013375
2	2	1	DPOGS200443-PA	MCINX013377
2	2	1	DPOGS200444-PA	MCINX005628
2	2	1	DPOGS200445-PA	MCINX005626
2	2	1	DPOGS200448-PA	MCINX013811
2	2	1	DPOGS200460-PA	MCINX004688
2	2	1	DPOGS200464-PA	MCINX014446
2	3	0.333	DPOGS200469-PA,DPOGS203907-PA	MCINX002490
2	2	1	DPOGS200479-PA	MCINX006913
2	2	1	DPOGS200481-PA	MCINX006917
2	2	1	DPOGS200483-PA	MCINX001162
2	2	1	DPOGS200492-PA	MCINX012836
2	2	1	DPOGS200494-PA	MCINX006179
2	2	1	DPOGS200495-PA	MCINX016121
2	2	1	DPOGS200496-PA	MCINX001161
2	2	1	DPOGS200498-PA	MCINX006915
2	2	1	DPOGS200501-PA	MCINX002886
2	2	1	DPOGS200506-PA	MCINX015304
2	2	1	DPOGS200518-PA	MCINX010613
2	2	1	DPOGS200521-PA	MCINX005740
2	2	1	DPOGS200524-PA	MCINX012048
2	2	1	DPOGS200526-PA	MCINX013697
2	2	1	DPOGS200530-PA	MCINX008834
2	2	1	DPOGS200536-PA	MCINX001044
2	2	1	DPOGS200540-PA	MCINX008246
2	2	1	DPOGS200546-PA	MCINX011970
2	2	1	DPOGS200553-PA	MCINX005290
2	2	1	DPOGS200554-PA	MCINX005292
2	2	1	DPOGS200565-PA	MCINX013695
2	2	1	DPOGS200566-PA	MCINX013696
2	2	1	DPOGS200568-PA	MCINX012049
2	2	1	DPOGS200569-PA	MCINX000604
2	2	1	DPOGS200570-PA	MCINX000603
2	2	1	DPOGS200571-PA	MCINX000601
2	2	1	DPOGS200575-PA	MCINX004632
2	2	1	DPOGS200576-PA	MCINX016517
2	2	1	DPOGS200582-PA	MCINX004190
2	2	1	DPOGS200585-PA	MCINX006946
2	2	1	DPOGS200586-PA	MCINX015210
2	2	1	DPOGS200588-PA	MCINX011672
2	2	1	DPOGS200591-PA	MCINX000927
2	2	1	DPOGS200593-PA	MCINX000929
2	2	1	DPOGS200594-PA	MCINX000931
2	2	1	DPOGS200595-PA	MCINX000933
2	2	1	DPOGS200598-PA	MCINX004073
2	2	1	DPOGS200600-PA	MCINX013913
2	2	1	DPOGS200603-PA	MCINX015322
2	2	1	DPOGS200606-PA	MCINX014438
2	2	1	DPOGS200610-PA	MCINX005909
2	2	1	DPOGS200612-PA	MCINX000297
2	2	1	DPOGS200613-PA	MCINX000298
2	2	1	DPOGS200615-PA	MCINX000301
2	2	1	DPOGS200616-PA	MCINX009005
2	2	1	DPOGS200620-PA	MCINX005905
2	2	1	DPOGS200621-PA	MCINX005906
2	2	1	DPOGS200622-PA	MCINX005908
2	2	1	DPOGS200623-PA	MCINX005910
2	2	1	DPOGS200626-PA	MCINX009480
2	2	1	DPOGS200627-PA	MCINX009479
2	2	1	DPOGS200629-PA	MCINX014437
2	2	1	DPOGS200630-PA	MCINX014439
2	2	1	DPOGS200636-PA	MCINX015323
2	2	1	DPOGS200637-PA	MCINX015327
2	2	1	DPOGS200638-PA	MCINX013914
2	2	1	DPOGS200640-PA	MCINX013911
2	2	1	DPOGS200643-PA	MCINX000934
2	2	1	DPOGS200644-PA	MCINX000932
2	2	1	DPOGS200645-PA	MCINX000930
2	2	1	DPOGS200646-PA	MCINX000928
2	2	1	DPOGS200648-PA	MCINX000926
2	2	1	DPOGS200649-PA	MCINX003381
2	2	1	DPOGS200655-PA	MCINX005041
2	2	1	DPOGS200662-PA	MCINX001083
2	2	1	DPOGS200666-PA	MCINX012379
2	2	1	DPOGS200670-PA	MCINX000218
2	5	0.2	DPOGS200672-PA,DPOGS200678-PA,DPOGS200677-PA,DPOGS200674-PA	MCINX000215
2	2	1	DPOGS200680-PA	MCINX006267
2	2	1	DPOGS200684-PA	MCINX007973
2	2	1	DPOGS200685-PA	MCINX003700
2	2	1	DPOGS200686-PA	MCINX003701
2	2	1	DPOGS200690-PA	MCINX007975
2	2	1	DPOGS200692-PA	MCINX006266
2	2	1	DPOGS200695-PA	MCINX000411
2	2	1	DPOGS200699-PA	MCINX008617
2	2	1	DPOGS200701-PA	MCINX013097
2	2	1	DPOGS200702-PA	MCINX000685
2	2	1	DPOGS200705-PA	MCINX013706
2	3	0.333	DPOGS200707-PA,DPOGS211912-PA	MCINX004993
2	2	1	DPOGS200711-PA	MCINX013116
2	2	1	DPOGS200715-PA	MCINX005771
2	2	1	DPOGS200716-PA	MCINX005769
2	2	1	DPOGS200717-PA	MCINX005767
2	2	1	DPOGS200718-PA	MCINX003959
2	2	1	DPOGS200723-PA	MCINX003967
2	2	1	DPOGS200726-PA	MCINX003976
2	2	1	DPOGS200727-PA	MCINX003978
2	2	1	DPOGS200728-PA	MCINX003979
2	2	1	DPOGS200730-PA	MCINX003980
2	2	1	DPOGS200736-PA	MCINX003977
2	2	1	DPOGS200737-PA	MCINX003975
2	2	1	DPOGS200738-PA	MCINX003972
2	2	1	DPOGS200740-PA	MCINX003969
2	2	1	DPOGS200743-PA	MCINX003964
2	2	1	DPOGS200745-PA	MCINX003961
2	2	1	DPOGS200746-PA	MCINX005768
2	2	1	DPOGS200747-PA	MCINX005770
2	2	1	DPOGS200749-PA	MCINX005327
2	2	1	DPOGS200752-PA	MCINX003953
2	2	1	DPOGS200755-PA	MCINX004995
2	2	1	DPOGS200757-PA	MCINX009376
2	2	1	DPOGS200758-PA	MCINX009377
2	2	1	DPOGS200761-PA	MCINX009375
2	2	1	DPOGS200770-PA	MCINX011023
2	3	0.333	DPOGS200776-PA,DPOGS200777-PA	MCINX004037
2	2	1	DPOGS200784-PA	MCINX013332
2	2	1	DPOGS200792-PA	MCINX012655
2	2	1	DPOGS200797-PA	MCINX014722
2	2	1	DPOGS200801-PA	MCINX012440
2	2	1	DPOGS200802-PA	MCINX000695
2	2	1	DPOGS200803-PA	MCINX011823
2	2	1	DPOGS200805-PA	MCINX002548
2	2	1	DPOGS200809-PA	MCINX008254
2	2	1	DPOGS200810-PA	MCINX008255
2	2	1	DPOGS200811-PA	MCINX006807
2	2	1	DPOGS200812-PA	MCINX013822
2	2	1	DPOGS200817-PA	MCINX006775
2	2	1	DPOGS200818-PA	MCINX006776
2	2	1	DPOGS200824-PA	MCINX002059
2	2	1	DPOGS200833-PA	MCINX016105
2	2	1	DPOGS200836-PA	MCINX006331
2	2	1	DPOGS200837-PA	MCINX006328
2	2	1	DPOGS200838-PA	MCINX009923
2	2	1	DPOGS200841-PA	MCINX009918
2	2	1	DPOGS200843-PA	MCINX012135
2	2	1	DPOGS200844-PA	MCINX012136
2	2	1	DPOGS200845-PA	MCINX014547
2	2	1	DPOGS200849-PA	MCINX014540
2	2	1	DPOGS200850-PA	MCINX005821
2	2	1	DPOGS200853-PA	MCINX014546
2	2	1	DPOGS200854-PA	MCINX014548
2	2	1	DPOGS200855-PA	MCINX014549
2	2	1	DPOGS200858-PA	MCINX009917
2	2	1	DPOGS200859-PA	MCINX009921
2	2	1	DPOGS200862-PA	MCINX016110
2	2	1	DPOGS200864-PA	MCINX016106
2	2	1	DPOGS200866-PA	MCINX014836
2	2	1	DPOGS200867-PA	MCINX014833
2	2	1	DPOGS200868-PA	MCINX012805
2	2	1	DPOGS200869-PA	MCINX012477
2	2	1	DPOGS200870-PA	MCINX002056
2	2	1	DPOGS200872-PA	MCINX008347
2	2	1	DPOGS200873-PA	MCINX008346
2	2	1	DPOGS200878-PA	MCINX003950
2	2	1	DPOGS200887-PA	MCINX013030
2	4	0.146	DPOGS200888-PA,DPOGS210834-PA	MCINX003615,MCINX013588
2	2	1	DPOGS200891-PA	MCINX014688
2	2	1	DPOGS200893-PA	MCINX014692
2	2	1	DPOGS200894-PA	MCINX014693
2	2	1	DPOGS200896-PA	MCINX001125
2	2	1	DPOGS200897-PA	MCINX010948
2	2	1	DPOGS200902-PA	MCINX003756
2	2	1	DPOGS200907-PA	MCINX001126
2	2	1	DPOGS200909-PA	MCINX015139
2	2	1	DPOGS200911-PA	MCINX014694
2	2	1	DPOGS200915-PA	MCINX014687
2	2	1	DPOGS200916-PA	MCINX003614
2	2	1	DPOGS200920-PA	MCINX002655
2	2	1	DPOGS200921-PA	MCINX012586
2	2	1	DPOGS200922-PA	MCINX009528
2	2	1	DPOGS200923-PA	MCINX009527
2	2	1	DPOGS200925-PA	MCINX010967
2	2	1	DPOGS200927-PA	MCINX009670
2	2	1	DPOGS200928-PA	MCINX012781
2	2	1	DPOGS200931-PA	MCINX002652
2	2	1	DPOGS200932-PA	MCINX002656
2	2	1	DPOGS200934-PA	MCINX014969
2	2	1	DPOGS200935-PA	MCINX002659
2	2	1	DPOGS200936-PA	MCINX002660
2	2	1	DPOGS200939-PA	MCINX001454
2	2	1	DPOGS200940-PA	MCINX001456
2	2	1	DPOGS200942-PA	MCINX012581
2	2	1	DPOGS200944-PA	MCINX001437
2	2	1	DPOGS200945-PA	MCINX001436
2	2	1	DPOGS200946-PA	MCINX005219
2	2	1	DPOGS200948-PA	MCINX005220
2	2	1	DPOGS200949-PA	MCINX005221
2	2	1	DPOGS200952-PA	MCINX003935
2	2	1	DPOGS200953-PA	MCINX003937
2	2	1	DPOGS200956-PA	MCINX003933
2	2	1	DPOGS200960-PA	MCINX012583
2	2	1	DPOGS200962-PA	MCINX001455
2	2	1	DPOGS200963-PA	MCINX001453
2	2	1	DPOGS200965-PA	MCINX007278
2	2	1	DPOGS200966-PA	MCINX003859
2	2	1	DPOGS200968-PA	MCINX003862
2	2	1	DPOGS200970-PA	MCINX012874
2	2	1	DPOGS200972-PA	MCINX003864
2	2	1	DPOGS200975-PA	MCINX005942
2	3	0.333	DPOGS200976-PA	MCINX005939,MCINX005938
2	2	1	DPOGS200977-PA	MCINX005934
2	2	1	DPOGS200980-PA	MCINX005929
2	2	1	DPOGS200981-PA	MCINX014157
2	2	1	DPOGS200984-PA	MCINX007295
2	2	1	DPOGS200988-PA	MCINX014164
2	2	1	DPOGS200989-PA	MCINX012917
