# Species	Genes	Alg.-Conn.	bombyx_refseq_proteins_accession.fa	Dp_OGS2_prots.fas
2	2	1	NP_001036780	DPOGS206861
2	2	1	NP_001036824	DPOGS213105
2	2	1	NP_001036825	DPOGS205849
2	5	0.2	NP_001036826,XP_004927691,XP_004927690,XP_004923933	DPOGS205336
2	2	1	NP_001036827	DPOGS204934
2	2	1	NP_001036829	DPOGS214525
2	2	1	NP_001036830	DPOGS212029
2	2	1	NP_001036831	DPOGS200483
2	2	1	NP_001036833	DPOGS200256
2	2	1	NP_001036834	DPOGS209792
2	6	0.128	NP_001036835,NP_001166743	DPOGS210226,DPOGS210225,DPOGS210224,DPOGS210223
2	2	1	NP_001036836	DPOGS209814
2	2	1	NP_001036837	DPOGS208844
2	2	1	NP_001036838	DPOGS215909
2	2	1	NP_001036840	DPOGS212964
2	4	0.25	NP_001036841,NP_001106137,NP_001106136	DPOGS200952
2	2	1	NP_001036843	DPOGS210848
2	2	1	NP_001036844	DPOGS204147
2	2	1	NP_001036845	DPOGS216016
2	2	1	NP_001036846	DPOGS203907
2	2	1	NP_001036847	DPOGS207191
2	2	1	NP_001036848	DPOGS207638
2	2	1	NP_001036850	DPOGS209245
2	2	1	NP_001036852	DPOGS203501
2	2	1	NP_001036853	DPOGS203816
2	5	0.2	NP_001036854,NP_001166664,NP_001166663,NP_001036855	DPOGS215880
2	4	0.25	NP_001036856,XP_004926653,NP_001037536	DPOGS215263
2	2	1	NP_001036857	DPOGS210152
2	2	1	NP_001036859	DPOGS205558
2	2	1	NP_001036860	DPOGS207310
2	3	0.333	NP_001036862,NP_001166667	DPOGS215887
2	2	1	NP_001036864	DPOGS215902
2	2	1	NP_001036870	DPOGS207365
2	2	1	NP_001036871	DPOGS204182
2	2	1	NP_001036872	DPOGS202697
2	2	1	NP_001036873	DPOGS206518
2	2	1	NP_001036876	DPOGS213899
2	2	1	NP_001036878	DPOGS210032
2	2	1	NP_001036879	DPOGS210211
2	2	1	NP_001036881	DPOGS202128
2	3	0.333	NP_001036882,XP_004928488	DPOGS208077
2	2	1	NP_001036884	DPOGS214479
2	2	1	NP_001036886	DPOGS211429
2	4	0.146	NP_001036887,NP_001036964	DPOGS213385,DPOGS213386
2	2	1	NP_001036888	DPOGS213388
2	2	1	NP_001036889	DPOGS207504
2	2	1	NP_001036890	DPOGS204635
2	3	0.333	NP_001036891	DPOGS215189,DPOGS215188
2	2	1	NP_001036892	DPOGS210250
2	2	1	NP_001036893	DPOGS204732
2	2	1	NP_001036895	DPOGS214717
2	2	1	NP_001036896	DPOGS202775
2	2	1	NP_001036897	DPOGS209686
2	2	1	NP_001036899	DPOGS215547
2	2	1	NP_001036900	DPOGS214635
2	2	1	NP_001036901	DPOGS214058
2	2	1	NP_001036902	DPOGS201136
2	2	1	NP_001036904	DPOGS215240
2	3	0.333	NP_001036905,NP_001104802	DPOGS201499
2	2	1	NP_001036909	DPOGS211038
2	2	1	NP_001036910	DPOGS213645
2	2	1	NP_001036911	DPOGS200951
2	2	1	NP_001036912	DPOGS209670
2	2	1	NP_001036913	DPOGS213662
2	2	1	NP_001036914	DPOGS200588
2	3	0.333	NP_001036916,NP_001166852	DPOGS211768
2	2	1	NP_001036917	DPOGS204627
2	2	1	NP_001036918	DPOGS208707
2	2	1	NP_001036919	DPOGS213057
2	2	1	NP_001036920	DPOGS205081
2	2	1	NP_001036921	DPOGS212091
2	2	1	NP_001036922	DPOGS206256
2	2	1	NP_001036923	DPOGS209483
2	3	0.333	NP_001036926,NP_001116805	DPOGS216024
2	2	1	NP_001036928	DPOGS206248
2	2	1	NP_001036929	DPOGS203055
2	5	0.2	NP_001036932,NP_001093312,NP_001037684,NP_001037683	DPOGS210303
2	2	1	NP_001036933	DPOGS200623
2	2	1	NP_001036934	DPOGS212925
2	2	1	NP_001036935	DPOGS213482
2	2	1	NP_001036936	DPOGS211250
2	2	1	NP_001036937	DPOGS204184
2	2	1	NP_001036938	DPOGS206444
2	2	1	NP_001036939	DPOGS211258
2	2	1	NP_001036940	DPOGS207853
2	3	0.333	NP_001036941	DPOGS216184,DPOGS216183
2	2	1	NP_001036942	DPOGS216208
2	2	1	NP_001036945	DPOGS209203
2	2	1	NP_001036946	DPOGS209228
2	2	1	NP_001036947	DPOGS203830
2	2	1	NP_001036948	DPOGS207905
2	2	1	NP_001036949	DPOGS209202
2	2	1	NP_001036950	DPOGS206032
2	2	1	NP_001036952	DPOGS205562
2	2	1	NP_001036953	DPOGS215569
2	2	1	NP_001036956	DPOGS203677
2	2	1	NP_001036957	DPOGS202781
2	2	1	NP_001036958	DPOGS210949
2	2	1	NP_001036959	DPOGS209689
2	2	1	NP_001036961	DPOGS203687
2	2	1	NP_001036963	DPOGS202094
2	2	1	NP_001036965	DPOGS202403
2	3	0.333	NP_001036967,XP_004929428	DPOGS202814
2	2	1	NP_001036968	DPOGS212291
2	2	1	NP_001036969	DPOGS212410
2	2	1	NP_001036970	DPOGS208883
2	2	1	NP_001036971	DPOGS205799
2	2	1	NP_001036972	DPOGS210727
2	2	1	NP_001036973	DPOGS215072
2	2	1	NP_001036974	DPOGS208312
2	2	1	NP_001036975	DPOGS203908
2	2	1	NP_001036977	DPOGS208503
