gene	scaffold	begin	end	chrom	scaff_frag	fragment	begin_frag	end_frag
HMEL025033	HE667775	106689	143155	3	HE667775_1	1	0	163478
HMEL025034	HE667776	139980	169655	3	HE667776_1	1	0	174540
HMEL025056	HE667779	82647	83106	3	HE667779_1	1	0	177333
HMEL025000	HE667773	16380	32888	3	HE667773_1	1	0	83500
HMEL025048	HE667778	33439	34949	3	HE667778_1	1	0	238359
HMEL025049	HE667778	37996	39054	3	HE667778_1	1	0	238359
HMEL025050	HE667778	41658	43753	3	HE667778_1	1	0	238359
HMEL025051	HE667778	44250	45755	3	HE667778_1	1	0	238359
HMEL025052	HE667778	46308	48449	3	HE667778_1	1	0	238359
HMEL025053	HE667778	103942	121714	3	HE667778_1	1	0	238359
HMEL025054	HE667778	172258	204469	3	HE667778_1	1	0	238359
HMEL025055	HE667778	217584	218840	3	HE667778_1	1	0	238359
HMEL025035	HE667777	50016	57012	3	HE667777_1	1	0	122801
HMEL025036	HE667777	64429	80763	3	HE667777_1	1	0	122801
HMEL025037	HE667777	108203	110418	3	HE667777_1	1	0	122801
HMEL025038	HE667777	140675	152145	Z	HE667777_2	2	122801	353155
HMEL025039	HE667777	152803	164423	Z	HE667777_2	2	122801	353155
HMEL025040	HE667777	165346	179545	Z	HE667777_2	2	122801	353155
HMEL025041	HE667777	183920	192584	Z	HE667777_2	2	122801	353155
HMEL025042	HE667777	194853	200765	Z	HE667777_2	2	122801	353155
HMEL025043	HE667777	208153	221141	Z	HE667777_2	2	122801	353155
HMEL025044	HE667777	225486	239730	Z	HE667777_2	2	122801	353155
HMEL025045	HE667777	261363	288120	Z	HE667777_2	2	122801	353155
HMEL025046	HE667777	302213	320401	Z	HE667777_2	2	122801	353155
HMEL025047	HE667777	323363	331258	Z	HE667777_2	2	122801	353155
HMEL025001	HE667774	9310	19567	3	HE667774_1	1	0	223569
HMEL025002	HE667774	21855	27292	3	HE667774_1	1	0	223569
HMEL025003	HE667774	27747	30694	3	HE667774_1	1	0	223569
HMEL025004	HE667774	32135	34794	3	HE667774_1	1	0	223569
HMEL025005	HE667774	35666	36318	3	HE667774_1	1	0	223569
HMEL025006	HE667774	36793	40746	3	HE667774_1	1	0	223569
HMEL025007	HE667774	42984	44492	3	HE667774_1	1	0	223569
HMEL025008	HE667774	49033	50817	3	HE667774_1	1	0	223569
HMEL025009	HE667774	52205	63000	3	HE667774_1	1	0	223569
HMEL025010	HE667774	56528	63137	3	HE667774_1	1	0	223569
HMEL025011	HE667774	65583	66211	3	HE667774_1	1	0	223569
HMEL025012	HE667774	65586	66328	3	HE667774_1	1	0	223569
HMEL025013	HE667774	67020	68173	3	HE667774_1	1	0	223569
HMEL025014	HE667774	67077	71989	3	HE667774_1	1	0	223569
HMEL025015	HE667774	72584	78359	3	HE667774_1	1	0	223569
HMEL025016	HE667774	76917	78359	3	HE667774_1	1	0	223569
HMEL025017	HE667774	89789	99699	3	HE667774_1	1	0	223569
HMEL025018	HE667774	112323	113570	3	HE667774_1	1	0	223569
HMEL025019	HE667774	129336	136377	3	HE667774_1	1	0	223569
HMEL025020	HE667774	137142	142955	3	HE667774_1	1	0	223569
HMEL025021	HE667774	145212	149164	3	HE667774_1	1	0	223569
HMEL025022	HE667774	152678	153419	3	HE667774_1	1	0	223569
HMEL025023	HE667774	154713	159175	3	HE667774_1	1	0	223569
HMEL025024	HE667774	159469	167334	3	HE667774_1	1	0	223569
HMEL025025	HE667774	163033	167335	3	HE667774_1	1	0	223569
HMEL025026	HE667774	167879	172582	3	HE667774_1	1	0	223569
HMEL025027	HE667774	173754	179324	3	HE667774_1	1	0	223569
HMEL025028	HE667774	173773	179393	3	HE667774_1	1	0	223569
HMEL025029	HE667774	179562	183017	3	HE667774_1	1	0	223569
HMEL025030	HE667774	183845	185781	3	HE667774_1	1	0	223569
HMEL025031	HE667774	185519	187917	3	HE667774_1	1	0	223569
HMEL025032	HE667774	189847	191675	3	HE667774_1	1	0	223569
HMEL016101	HE671550	588	22615	19	HE671550_1	1	0	149865
HMEL016102	HE671550	25218	28297	19	HE671550_1	1	0	149865
HMEL016103	HE671550	27432	40984	19	HE671550_1	1	0	149865
HMEL016104	HE671550	80028	80098	19	HE671550_1	1	0	149865
HMEL016105	HE671550	87259	87329	19	HE671550_1	1	0	149865
HMEL005765	HE670284	6601	25121	4	HE670284_1	1	0	25393
HMEL005766	HE670284	8289	8359	4	HE670284_1	1	0	25393
HMEL012768	HE671297	21431	21501	20	HE671297_1	1	0	63564
HMEL012769	HE671297	46933	48530	20	HE671297_1	1	0	63564
HMEL005472	HE670095	11787	13598	7	HE670095_1	1	0	180036
HMEL005473	HE670095	17412	20719	7	HE670095_1	1	0	180036
HMEL005474	HE670095	21375	53772	7	HE670095_1	1	0	180036
HMEL005475	HE670095	44002	44072	7	HE670095_1	1	0	180036
HMEL005476	HE670095	46715	46785	7	HE670095_1	1	0	180036
HMEL005477	HE670095	58111	68919	7	HE670095_1	1	0	180036
HMEL005478	HE670095	69817	74842	7	HE670095_1	1	0	180036
HMEL005479	HE670095	75319	75717	7	HE670095_1	1	0	180036
HMEL005480	HE670095	76769	81603	7	HE670095_1	1	0	180036
HMEL005481	HE670095	126346	133695	7	HE670095_1	1	0	180036
HMEL005482	HE670095	134160	139959	7	HE670095_1	1	0	180036
HMEL005483	HE670095	140869	142565	7	HE670095_1	1	0	180036
HMEL005484	HE670095	143230	144217	7	HE670095_1	1	0	180036
HMEL005485	HE670095	156636	161567	7	HE670095_1	1	0	180036
HMEL005486	HE670095	161419	161844	7	HE670095_1	1	0	180036
HMEL007880	HE671764	4670	7414	10	HE671764_1	1	0	118640
HMEL007881	HE671764	51844	53474	10	HE671764_1	1	0	118640
HMEL007882	HE671764	74669	74741	10	HE671764_1	1	0	118640
HMEL015330	HE671499	20726	27825	18	HE671499_1	1	0	222756
HMEL015331	HE671499	55471	55542	18	HE671499_1	1	0	222756
HMEL015332	HE671499	142047	151123	18	HE671499_1	1	0	222756
HMEL015333	HE671499	183228	186220	18	HE671499_1	1	0	222756
HMEL015334	HE671499	190119	190890	18	HE671499_1	1	0	222756
HMEL002483	HE668088	16017	17256	15	HE668088_1	1	0	22639
HMEL002067	HE667793	124	4114	NA	HE667793_1	1	0	4835
HMEL013592	HE671374	10121	11392	9	HE671374_1	1	0	459530
HMEL013593	HE671374	14483	25382	9	HE671374_1	1	0	459530
