/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel-v-Mcinx/../Hmel2_Chr02_Ch21.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel-v-Mcinx/../Mcinx_Chr21_Chr02.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[% SIM]	[% STP]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[FRM]	[TAGS]
29132	28461	1433255	1433914	672	660	53.12	72.32	0.00	9044871	14179218	0.01	0.00	-2	2	Hmel2_Chr02	Mcinx_Chr01
252400	252588	8075837	8075652	189	186	61.90	69.84	2.38	9044871	8450244	0.00	0.00	1	-2	Hmel2_Chr02	Mcinx_Chr21
370048	369944	1441793	1441897	105	105	94.29	97.14	0.00	9044871	8450244	0.00	0.00	-3	2	Hmel2_Chr02	Mcinx_Chr21
371502	371359	1438229	1438396	144	168	73.21	80.36	1.79	9044871	8450244	0.00	0.00	-1	2	Hmel2_Chr02	Mcinx_Chr21
372201	372052	1435691	1435840	150	150	84.00	94.00	0.00	9044871	8450244	0.00	0.00	-1	2	Hmel2_Chr02	Mcinx_Chr21
419352	419047	7935152	7935424	306	273	52.94	67.65	2.94	9044871	8450244	0.00	0.00	-1	2	Hmel2_Chr02	Mcinx_Chr21
422159	422028	7931999	7932130	132	132	79.55	86.36	0.00	9044871	8450244	0.00	0.00	-2	2	Hmel2_Chr02	Mcinx_Chr21
451041	450811	7893719	7893955	231	237	51.85	69.14	1.85	9044871	8450244	0.00	0.00	-1	2	Hmel2_Chr02	Mcinx_Chr21
601596	601477	4691748	4691629	120	120	90.00	97.50	1.25	9044871	8450244	0.00	0.00	-1	-1	Hmel2_Chr02	Mcinx_Chr21
631912	631700	4718249	4718034	213	216	72.22	80.56	9.72	9044871	8450244	0.00	0.00	-3	-2	Hmel2_Chr02	Mcinx_Chr21
632449	632709	4718459	4718725	261	267	48.35	56.04	4.95	9044871	8450244	0.00	0.00	1	2	Hmel2_Chr02	Mcinx_Chr21
651898	651812	4738785	4738699	87	87	89.66	96.55	0.00	9044871	8450244	0.00	0.00	-3	-1	Hmel2_Chr02	Mcinx_Chr21
657229	657351	4743779	4743904	123	126	66.67	71.43	0.00	9044871	8450244	0.00	0.00	1	2	Hmel2_Chr02	Mcinx_Chr21
658939	658781	4745526	4745389	159	138	50.00	57.41	1.85	9044871	8450244	0.00	0.00	-3	-1	Hmel2_Chr02	Mcinx_Chr21
675048	675149	4761426	4761542	102	117	66.67	74.36	1.28	9044871	8450244	0.00	0.00	3	3	Hmel2_Chr02	Mcinx_Chr21
680813	681052	4765843	4766088	240	246	47.56	53.66	6.71	9044871	8450244	0.00	0.00	2	1	Hmel2_Chr02	Mcinx_Chr21
703538	703323	4791470	4791249	216	222	48.72	64.10	5.77	9044871	8450244	0.00	0.00	-2	-2	Hmel2_Chr02	Mcinx_Chr21
