/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../Mcinx_chr01.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
412278	412700	391150	391563	423	414	6243218	583736	0.01	0.07	DPSCF300001	chr1_superscaffold34
562239	562355	43948	44064	117	117	6243218	131426	0.00	0.09	DPSCF300001	chr1_superscaffold74
562398	562649	44070	44321	252	252	6243218	131426	0.00	0.19	DPSCF300001	chr1_superscaffold74
770862	770996	54260	54391	135	132	6243218	375869	0.00	0.04	DPSCF300001	chr1_superscaffold4
770862	770984	130469	130591	123	123	6243218	189799	0.00	0.06	DPSCF300001	chr1_superscaffold9
861911	862294	142118	142462	384	345	6243218	405941	0.01	0.08	DPSCF300001	chr1_superscaffold28
1455947	1456303	243155	243511	357	357	6243218	273284	0.01	0.13	DPSCF300001	chr1_superscaffold32
1864598	1864852	85157	85417	255	261	6243218	189799	0.00	0.14	DPSCF300001	chr1_superscaffold9
2240218	2240358	47429	47569	141	141	6243218	338757	0.00	0.04	DPSCF300001	chr1_superscaffold41
2576445	2576564	92519	92638	120	120	6243218	327780	0.00	0.04	DPSCF300001	chr1_superscaffold5
2986409	2986566	69279	69454	158	176	6243218	342112	0.00	0.05	DPSCF300001	chr1_superscaffold21
3168205	3168333	240443	240577	129	135	6243218	287825	0.00	0.05	DPSCF300001	chr1_superscaffold19
3169993	3170229	242839	243072	237	234	6243218	287825	0.00	0.08	DPSCF300001	chr1_superscaffold19
3178388	3178540	262346	262501	153	156	6243218	287825	0.00	0.05	DPSCF300001	chr1_superscaffold19
3178542	3178754	262672	262884	213	213	6243218	287825	0.00	0.07	DPSCF300001	chr1_superscaffold19
3180079	3180261	265859	266041	183	183	6243218	287825	0.00	0.06	DPSCF300001	chr1_superscaffold19
3182022	3182144	268963	269085	123	123	6243218	287825	0.00	0.04	DPSCF300001	chr1_superscaffold19
3183035	3185341	270166	272472	2307	2307	6243218	287825	0.04	0.80	DPSCF300001	chr1_superscaffold19
3188408	3188899	283845	284330	492	486	6243218	287825	0.01	0.17	DPSCF300001	chr1_superscaffold19
3189396	3190031	284615	285250	636	636	6243218	287825	0.01	0.22	DPSCF300001	chr1_superscaffold19
3438876	3439061	71207	71392	186	186	6243218	332811	0.00	0.06	DPSCF300001	chr1_superscaffold31
3439661	3440200	205114	205653	540	540	6243218	499950	0.01	0.11	DPSCF300001	chr1_superscaffold20
3440030	3440314	157856	158140	285	285	6243218	189799	0.00	0.15	DPSCF300001	chr1_superscaffold9
3440508	3440978	24922	25383	471	462	6243218	672113	0.01	0.07	DPSCF300001	chr1_superscaffold16
3441072	3441491	65207	65620	420	414	6243218	244644	0.01	0.17	DPSCF300001	chr1_superscaffold2
3441303	3441758	150033	150479	456	447	6243218	215349	0.01	0.21	DPSCF300001	chr1_superscaffold55
3592197	3592343	108550	108678	147	129	6243218	132225	0.00	0.10	DPSCF300001	chr1_superscaffold63
3766746	3766967	448291	448572	222	282	6243218	746312	0.00	0.04	DPSCF300001	chr1_superscaffold12
3766824	3767072	322874	323110	249	237	6243218	583736	0.00	0.04	DPSCF300001	chr1_superscaffold34
3886356	3886526	27828	27998	171	171	6243218	94003	0.00	0.18	DPSCF300001	chr1_superscaffold73
3886699	3886931	31966	32201	233	236	6243218	94003	0.00	0.25	DPSCF300001	chr1_superscaffold73
3887899	3888096	34181	34378	198	198	6243218	94003	0.00	0.21	DPSCF300001	chr1_superscaffold73
3888097	3888417	34959	35288	321	330	6243218	94003	0.01	0.35	DPSCF300001	chr1_superscaffold73
3888986	3889123	45276	45413	138	138	6243218	94003	0.00	0.15	DPSCF300001	chr1_superscaffold73
3893985	3894132	52609	52780	148	172	6243218	94003	0.00	0.18	DPSCF300001	chr1_superscaffold73
3895983	3896381	54981	55421	399	441	6243218	94003	0.01	0.47	DPSCF300001	chr1_superscaffold73
3898363	3898590	59575	59817	228	243	6243218	94003	0.00	0.26	DPSCF300001	chr1_superscaffold73
3900882	3901136	69442	69705	255	264	6243218	94003	0.00	0.28	DPSCF300001	chr1_superscaffold73
3931696	3931914	76948	77151	219	204	6243218	746312	0.00	0.03	DPSCF300001	chr1_superscaffold12
3935849	3936064	100027	100263	216	237	6243218	746312	0.00	0.03	DPSCF300001	chr1_superscaffold12
3948813	3948905	139523	139618	93	96	6243218	746312	0.00	0.01	DPSCF300001	chr1_superscaffold12
3959542	3959634	176184	176276	93	93	6243218	746312	0.00	0.01	DPSCF300001	chr1_superscaffold12
3963579	3963821	181818	182048	243	231	6243218	746312	0.00	0.03	DPSCF300001	chr1_superscaffold12
3967725	3967946	93242	93466	222	225	6243218	385378	0.00	0.06	DPSCF300001	chr1_superscaffold33
3974177	3974305	192346	192477	129	132	6243218	746312	0.00	0.02	DPSCF300001	chr1_superscaffold12
