/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Mcinx_mummer/../Mcinx_chr21.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2973	3176	1604	1807	204	204	6243218	30091	0.00	0.68	DPSCF300001	chr21_superscaffold34
3248	3376	1904	2032	129	129	6243218	30091	0.00	0.43	DPSCF300001	chr21_superscaffold34
3467	3694	2096	2323	228	228	6243218	30091	0.00	0.76	DPSCF300001	chr21_superscaffold34
3759	3878	2638	2757	120	120	6243218	30091	0.00	0.40	DPSCF300001	chr21_superscaffold34
4249	4407	26911	27069	159	159	6243218	162105	0.00	0.10	DPSCF300001	chr21_superscaffold3
4628	4852	26381	26605	225	225	6243218	162105	0.00	0.14	DPSCF300001	chr21_superscaffold3
5189	5353	7338	7502	165	165	6243218	30091	0.00	0.55	DPSCF300001	chr21_superscaffold34
5430	5624	35630	35824	195	195	6243218	58743	0.00	0.33	DPSCF300001	chr21_superscaffold25
5687	5857	8818	8988	171	171	6243218	30091	0.00	0.57	DPSCF300001	chr21_superscaffold34
5919	6368	37668	38186	450	519	6243218	58743	0.01	0.88	DPSCF300001	chr21_superscaffold25
6569	6796	38215	38424	228	210	6243218	58743	0.00	0.36	DPSCF300001	chr21_superscaffold25
10889	11107	11126	11344	219	219	6243218	162105	0.00	0.14	DPSCF300001	chr21_superscaffold3
45888	46019	298109	298234	132	126	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
48601	48750	295240	295389	150	150	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
49460	49783	293841	294155	324	315	6243218	387342	0.01	0.08	DPSCF300001	chr21_superscaffold20
50272	50397	293161	293286	126	126	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
51334	51609	292219	292461	276	243	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
52154	52366	289404	289610	213	207	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
53926	54030	288424	288528	105	105	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
54144	54263	288079	288198	120	120	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
54737	54859	285847	285981	123	135	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
57304	57486	283966	284154	183	189	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
62728	62976	276846	277097	249	252	6243218	387342	0.00	0.07	DPSCF300001	chr21_superscaffold20
63618	63752	273537	273668	135	132	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
63688	64095	271253	271576	408	324	6243218	387342	0.01	0.08	DPSCF300001	chr21_superscaffold20
77654	77818	245201	245365	165	165	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
77950	78174	244841	245065	225	225	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
79567	79713	242318	242464	147	147	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
80248	80442	241223	241417	195	195	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
80508	80717	240756	240965	210	210	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
81153	81383	240195	240428	231	234	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
81503	81721	238171	238383	219	213	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
81741	81851	237355	237465	111	111	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
81866	82102	237102	237320	237	219	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
87918	88706	214706	215494	789	789	6243218	387342	0.01	0.20	DPSCF300001	chr21_superscaffold20
118639	119340	159960	160664	702	705	6243218	387342	0.01	0.18	DPSCF300001	chr21_superscaffold20
119694	119861	153075	153245	168	171	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
153878	154123	78639	78884	246	246	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
154295	154483	78236	78415	189	180	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
154575	154727	76296	76448	153	153	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
156501	156776	73022	73306	276	285	6243218	387342	0.00	0.07	DPSCF300001	chr21_superscaffold20
165470	165661	49286	49480	192	195	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
165849	166043	48858	49052	195	195	6243218	387342	0.00	0.05	DPSCF300001	chr21_superscaffold20
166997	167224	48040	48282	228	243	6243218	387342	0.00	0.06	DPSCF300001	chr21_superscaffold20
167932	168105	46510	46683	174	174	6243218	387342	0.00	0.04	DPSCF300001	chr21_superscaffold20
168013	168144	27762	27893	132	132	6243218	387342	0.00	0.03	DPSCF300001	chr21_superscaffold20
178993	179241	44884	45159	249	276	6243218	90659	0.00	0.30	DPSCF300001	chr21_superscaffold7
179375	179575	45500	45703	201	204	6243218	90659	0.00	0.23	DPSCF300001	chr21_superscaffold7
179746	179955	45723	45956	210	234	6243218	90659	0.00	0.26	DPSCF300001	chr21_superscaffold7
181569	181787	48753	48971	219	219	6243218	90659	0.00	0.24	DPSCF300001	chr21_superscaffold7
182455	182730	50569	50853	276	285	6243218	90659	0.00	0.31	DPSCF300001	chr21_superscaffold7
186330	186716	56464	56853	387	390	6243218	90659	0.01	0.43	DPSCF300001	chr21_superscaffold7
187723	187920	57699	57896	198	198	6243218	90659	0.00	0.22	DPSCF300001	chr21_superscaffold7
188154	188309	58011	58166	156	156	6243218	90659	0.00	0.17	DPSCF300001	chr21_superscaffold7
189365	189757	60135	60524	393	390	6243218	90659	0.01	0.43	DPSCF300001	chr21_superscaffold7
190207	190515	60621	60929	309	309	6243218	90659	0.00	0.34	DPSCF300001	chr21_superscaffold7
191035	191208	61122	61283	174	162	6243218	90659	0.00	0.18	DPSCF300001	chr21_superscaffold7
191251	191491	61650	61899	241	250	6243218	90659	0.00	0.28	DPSCF300001	chr21_superscaffold7
196916	197101	67805	67990	186	186	6243218	90659	0.00	0.21	DPSCF300001	chr21_superscaffold7
